k,q,alpha,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6
5,4,10-10-20-20-40,1.0,1.0,0.9976700181956414,0.9918601414139956,0.9415332881746956,0.8649603744539729
5,4,10-10-10-10-60,1.3485282122009012,1.2136095351096552,1.0,1.0,0.9944995630494013,0.9809400688643956
5,4,20-20-20-20-20,1.0,1.0,0.9978389447268223,0.9854725928642182,0.9441718650214228,0.7798547092238178
5,4,10-10-20-20-40,1.0005631603949168,1.0,1.0,0.9965752494050479,0.9805937843881324,0.7818745420825851
5,4,10-10-10-10-60,1.237588607565295,1.0211907648341536,1.0,1.0,0.9953374172505425,0.9494963098534955
5,4,20-20-20-20-20,1.0,1.0,0.9869003916012605,0.8515743747220983,0.8457019342245458,0.7499920075239235
5,4,10-10-20-20-40,1.07651188248845,1.0,1.0,0.9981737267626068,0.8662481567740852,0.7694371734921859
5,4,10-10-10-10-60,1.3224782415391352,1.1254042722928042,1.0463134589957346,1.0,1.0,0.9752148553559883
5,4,20-20-20-20-20,1.0,1.0,0.754886783056207,0.7518425814229845,0.7509418186112322,0.7506059390897215
5,4,10-10-20-20-40,1.3713103796760424,1.2240824222591224,1.0,1.0,0.7525526115267326,0.5893947285882657
5,4,10-10-10-10-60,1.3745790854822018,1.3708544628046484,1.3676237566987717,1.0,1.0,0.9588974402659856
5,4,20-20-20-20-20,1.0,1.0,0.8850857592571522,0.7991306888653034,0.7647826861155647,0.7490287025634652
5,4,10-10-20-20-40,1.2157879955273883,1.1094870920182713,1.0,1.0,0.8120873320729993,0.6641030412793419
5,4,10-10-10-10-60,1.4171367546045812,1.3004420092142095,1.1972064285361903,1.0,1.0,0.9818615359261563
5,4,20-20-20-20-20,1.0,1.0,0.993536038121961,0.8801581269542293,0.8758905828818223,0.7358344827897294
5,4,10-10-20-20-40,1.3286663116479032,1.0,1.0,0.9941281902461941,0.8835970271673432,0.748678295698276
5,4,10-10-10-10-60,1.429027438238674,1.3940150892008878,1.1447700048033755,1.0,1.0,0.9914746066342357
5,4,20-20-20-20-20,1.0,1.0,0.750097442518795,0.7500296744665227,0.7500173085542197,0.7499902159136654
5,4,10-10-20-20-40,1.3750061068237476,1.2264704311721701,1.0,1.0,0.7500756191918417,0.586039913863873
5,4,10-10-10-10-60,1.3750340559847736,1.3749100780845247,1.3747196108474744,1.0,1.0,0.9583079324304096
5,4,20-20-20-20-20,1.0,1.0,0.7831914792129862,0.7580382053082648,0.7500689567042221,0.7485747463048283
5,4,10-10-20-20-40,1.3181596218115128,1.1919507023967486,1.0,1.0,0.7647071293301498,0.6045673653773951
5,4,10-10-10-10-60,1.377396016949679,1.3440461913279382,1.3171678256319173,1.0,1.0,0.9520801418802637
5,4,20-20-20-20-20,1.0,1.0,0.7504372121655962,0.7501950777109611,0.7501416692984786,0.7500832656891725
5,4,10-10-20-20-40,1.3743018012001273,1.2260506810007041,1.0,1.0,0.750311160632941,0.5863555992628424
5,4,10-10-10-10-60,1.375007666014761,1.374373717357851,1.3736208776326022,1.0,1.0,0.9582060480918007
5,4,20-20-20-20-20,1.0,1.0,0.8223159247104457,0.7812292310957681,0.7747967483937954,0.7399307856776168
5,4,10-10-20-20-40,1.3286073252304975,1.0879376023990988,1.0,1.0,0.7888156326722371,0.6391203639127134
5,4,10-10-10-10-60,1.4006528417069561,1.3919242114317834,1.212744885982535,1.0,1.0,0.9543344339348029
5,4,20-20-20-20-20,1.0,1.0,0.8476422798225778,0.7876455977204858,0.7711326498101461,0.7431461957820319
5,4,10-10-20-20-40,1.30475198044698,1.1346666841866113,1.0,1.0,0.7923061248024879,0.6511631487738659
5,4,10-10-10-10-60,1.4003525153328222,1.3597104083955345,1.2456110390274178,1.0,1.0,0.9842928610371061
5,4,20-20-20-20-20,1.0,1.0,0.8459292827606624,0.7920167699683032,0.7803490870656976,0.7464881378348102
5,4,10-10-20-20-40,1.3175063441046293,1.1372985505426434,1.0,1.0,0.792903612242702,0.6637204550501569
5,4,10-10-10-10-60,1.3958757140245828,1.360531702224458,1.2480640017140068,1.0,1.0,0.9898757263164426
5,4,20-20-20-20-20,1.0,1.0,0.7806863015788812,0.7608170729137471,0.7560949535365651,0.7488829911489305
5,4,10-10-20-20-40,1.340226856483718,1.2019345637846,1.0,1.0,0.7675543348175106,0.5995681864819757
5,4,10-10-10-10-60,1.370505972996243,1.3470591655610626,1.329332888878207,1.0,1.0,0.9581255104905902
5,4,20-20-20-20-20,1.0,1.0,0.9785903692201506,0.9403935808050633,0.9050351700499379,0.8275634826479549
5,4,10-10-20-20-40,1.0,1.0,0.995691228166111,0.9858091644808392,0.9446694472744275,0.8321775397171238
5,4,10-10-10-10-60,1.4993617551811895,1.2434657837143015,1.0,1.0,0.9871505097992412,0.9745053234765692
5,4,20-20-20-20-20,1.0,1.0,0.919927114239773,0.8693958486066236,0.8634296837345194,0.8357410534589643
5,4,10-10-20-20-40,1.2083270036841358,1.0159614286512637,1.0,1.0,0.8758051770269671,0.8208079338299291
5,4,10-10-10-10-60,1.345898085779891,1.2042231963067405,1.0731379214824255,1.0,1.0,0.9818382237998464
5,4,20-20-20-20-20,1.0,1.0,0.7502129404531069,0.7500426459636214,0.7500271685569261,0.7499917289384043
5,4,10-10-20-20-40,1.3746178659699755,1.226240397751797,1.0,1.0,0.7501140086737568,0.5861500597552257
5,4,10-10-10-10-60,1.3749784012592678,1.3748184924619558,1.3746138121887481,1.0,1.0,0.9583051252907278
5,4,20-20-20-20-20,1.0,1.0,0.7500093029484315,0.7500034292941133,0.7500014749272896,0.749999850071955
5,4,10-10-20-20-40,1.3749773657508764,1.2264536965637727,1.0,1.0,0.7500056258840498,0.5860393121924955
5,4,10-10-10-10-60,1.3750028341124956,1.3749945437788367,1.3749743231453626,1.0,1.0,0.9583323507672243
5,4,20-20-20-20-20,1.0,1.0,0.7526761973383356,0.7514429082110682,0.7511453920028258,0.7504908899700827
5,4,10-10-20-20-40,1.367133048565347,1.221740451176752,1.0,1.0,0.7523553360307974,0.588387822893237
5,4,10-10-10-10-60,1.3744273887635534,1.371349378392095,1.3672956855886864,1.0,1.0,0.9578218095505588
